name,class,primary_fuel_type,generation_MW,generator_number,suburb,state,longitude,latitude,generation_type
Swanbank E,Non Renewable,Natural Gas,385,1,Swanbank,Queensland,152.8179382,-27.65537431,Combined Cycle Gas Turbine
Wivenhoe Hydroelectric,Renewable,Water,500,2,Split Yard Creek,Queensland,152.6320276,-27.37222139,Hydroelectric (Pumped Storage)
Barron Gorge,Renewable,Water,60,2,Kuranda,Queensland,145.646495,-16.850199,Hydroelectric (Run of River)
Braemar 1,Non Renewable,Natural Gas,504,3,Kogan,Queensland,150.9053369,-27.11093403,Open Cycle Gas Turbine
Braemar 2,Non Renewable,Natural Gas,519,3,Kogan,Queensland,150.9048783,-27.11281127,Open Cycle Gas Turbine
Condamine A,Non Renewable,Natural Gas,144,3,Columboola,Queensland,150.2700145,-26.66822221,Combined Cycle Gas Turbine
Daandine,Non Renewable,Natural Gas,33,11,Kogan,Queensland,150.9430055,-27.08631997,Compression Reciprocating Engine
Darling Downs,Non Renewable,Natural Gas,644,4,Kogan,Queensland,150.894217,-27.11689141,Combined Cycle Gas Turbine
German Creek,Non Renewable,Natural Gas,45.2,16,Middlemount,Queensland,148.551497,-22.928147,Spark Ignition Reciprocating Engine
Gladstone,Non Renewable,Coal,1680,6,Callemondah,Queensland,151.218653,-23.850753,Steam Subcritical
Isis Central Sugar Mill,Renewable,Biomass,25,4,Isis Central,Queensland,152.208556,-25.193986,Cogeneration - Steam Subcritical
Kalamia Sugar Mill,Renewable,Biomass,9,1,Brandon,Queensland,147.415237,-19.522339,Steam Subcritical
Kareeya,Renewable,Water,88,5,Cardstone,Queensland,145.577865,-17.767002,Hydroelectric (Run of River)
Kogan Creek,Non Renewable,Coal,744,1,Brigalow,Queensland,150.7492833,-26.91768333,Steam Super Critical
Millmerran,Non Renewable,Coal,856,2,Grays Gate,Queensland,151.278949,-27.961542,Steam Super Critical
Moranbah,Non Renewable,Natural Gas,12.56,,Moranbah,Queensland,148.0246472,-21.98513021,Spark Ignition Reciprocating Engine
Mount Stuart,Non Renewable,Distillate,423,2,Stuart,Queensland,146.8511705,-19.33799835,Open Cycle Gas Turbine
Oakey,Non Renewable,Natural Gas,282,2,Oakey,Queensland,151.679767,-27.418362,Open Cycle Gas Turbine
Oaky Creek,Non Renewable,Natural Gas,20,16,Bundoora,Queensland,148.581702,-22.987776,Spark Ignition Reciprocating Engine
Stanwell,Non Renewable,Coal,1460,4,Stanwell,Queensland,150.319466,-23.50972,Steam Subcritical
Tarong,Non Renewable,Fuel Oil,15,1,Tarong,Queensland,151.917164,-26.785767,Open Cycle Gas Turbine
Tarong North,Non Renewable,Coal,443,1,Tarong,Queensland,151.9146017,-26.77576259,Steam Super Critical
Tarong,Non Renewable,Coal,1400,4,Tarong,Queensland,151.9152732,-26.78235751,Steam Subcritical
Townsville,Non Renewable,Natural Gas,220,2,Yabulu,Queensland,146.618707,-19.201056,Combined Cycle Gas Turbine
Yarwun,Non Renewable,Natural Gas,154,,Yarwun,Queensland,151.15193,-23.830645,Open Cycle Gas Turbine
Macknade Sugar Mill,Renewable,Biomass,8,2,Macknade,Queensland,146.257961,-18.589043,Steam Subcritical
Victoria Sugar Mill,Renewable,Biomass,24,3,Victoria Plantation,Queensland,146.201627,-18.650804,Steam Subcritical
Callide C,Non Renewable,Coal,840,2,Mount Murchison,Queensland,150.618181,-24.344946,Steam Super Critical
Callide B,Non Renewable,Coal,700,2,Mount Murchison,Queensland,150.619749,-24.34488,Steam Subcritical
Callide A,Non Renewable,Coal,30,4,Mount Murchison,Queensland,150.627973,-24.334025,Steam Subcritical
Collinsville,Non Renewable,Coal,190,5,Collinsville,Queensland,147.804887,-20.544682,Steam Subcritical
Broome,Non Renewable,Natural Gas,39.6,17,Minyirr,Western Australia,122.204602,-17.981027,
Burrup Peninsula (Karratha Gas Plant),Non Renewable,Natural Gas,240,,Burrup,Western Australia,116.782147,-20.628649,
Burrup Peninsula (Pluto Phase 1),Non Renewable,Natural Gas,160,,Burrup,Western Australia,116.78015,-20.59368,
