Year,Energy_Consumption,Industry,State
1973,9.8,Agriculture,New South Wales
1974,9.3,Agriculture,New South Wales
1975,9.3,Agriculture,New South Wales
1976,9.5,Agriculture,New South Wales
1977,10.2,Agriculture,New South Wales
1978,10.2,Agriculture,New South Wales
1979,11.1,Agriculture,New South Wales
1980,10.4,Agriculture,New South Wales
1981,12.5,Agriculture,New South Wales
1982,8.3,Agriculture,New South Wales
1983,10.9,Agriculture,New South Wales
1984,10.4,Agriculture,New South Wales
1985,10.6,Agriculture,New South Wales
1986,10.1,Agriculture,New South Wales
1987,9.5,Agriculture,New South Wales
1988,10.6,Agriculture,New South Wales
1989,9.9,Agriculture,New South Wales
1990,10.8,Agriculture,New South Wales
1991,11.3,Agriculture,New South Wales
1992,11.7,Agriculture,New South Wales
1993,11.9,Agriculture,New South Wales
1994,12.4,Agriculture,New South Wales
1995,12.8,Agriculture,New South Wales
1996,13.2,Agriculture,New South Wales
1997,14,Agriculture,New South Wales
1998,13.9,Agriculture,New South Wales
1999,14.2,Agriculture,New South Wales
2000,29,Agriculture,New South Wales
2001,29.6,Agriculture,New South Wales
2002,30.7,Agriculture,New South Wales
2003,29.8,Agriculture,New South Wales
2004,29.4,Agriculture,New South Wales
2005,29.6,Agriculture,New South Wales
2006,29.2,Agriculture,New South Wales
2007,28.9,Agriculture,New South Wales
2008,28.4,Agriculture,New South Wales
2009,28.6,Agriculture,New South Wales
2010,28.8,Agriculture,New South Wales
2011,29.4,Agriculture,New South Wales
2012,29.2,Agriculture,New South Wales
2013,27.8,Agriculture,New South Wales
2014,30.1,Agriculture,New South Wales
2015,33.5,Agriculture,New South Wales
1973,8.5,Agriculture,Victoria
1974,8.8,Agriculture,Victoria
1975,8.7,Agriculture,Victoria
1976,8.9,Agriculture,Victoria
1977,9,Agriculture,Victoria
1978,9.7,Agriculture,Victoria
1979,9.7,Agriculture,Victoria
1980,10.3,Agriculture,Victoria
1981,10.1,Agriculture,Victoria
1982,10,Agriculture,Victoria
1983,11,Agriculture,Victoria
1984,10.8,Agriculture,Victoria
1985,10.5,Agriculture,Victoria
1986,10.2,Agriculture,Victoria
1987,9.9,Agriculture,Victoria
1988,10.8,Agriculture,Victoria
1989,10.4,Agriculture,Victoria
1990,10.6,Agriculture,Victoria
1991,10.5,Agriculture,Victoria
1992,10.7,Agriculture,Victoria
1993,10.9,Agriculture,Victoria
1994,11.3,Agriculture,Victoria
1995,10.8,Agriculture,Victoria
1996,11.6,Agriculture,Victoria
1997,12,Agriculture,Victoria
1998,12.6,Agriculture,Victoria
1999,12.7,Agriculture,Victoria
2000,16.9,Agriculture,Victoria
2001,17,Agriculture,Victoria
2002,18.8,Agriculture,Victoria
2003,19.3,Agriculture,Victoria
2004,20,Agriculture,Victoria
2005,17.6,Agriculture,Victoria
2006,15.4,Agriculture,Victoria
2007,15.7,Agriculture,Victoria
2008,14.2,Agriculture,Victoria
2009,15.6,Agriculture,Victoria
2010,15.6,Agriculture,Victoria
2011,15.7,Agriculture,Victoria
2012,15.4,Agriculture,Victoria
2013,16.9,Agriculture,Victoria
2014,16.8,Agriculture,Victoria
2015,15.5,Agriculture,Victoria
1973,10.3,Agriculture,Queensland
1974,11.3,Agriculture,Queensland
1975,11.5,Agriculture,Queensland
1976,12,Agriculture,Queensland
1977,12.2,Agriculture,Queensland
1978,12.5,Agriculture,Queensland
1979,12.7,Agriculture,Queensland
1980,13.6,Agriculture,Queensland
1981,15.9,Agriculture,Queensland
1982,16.2,Agriculture,Queensland
1983,17.2,Agriculture,Queensland
1984,17.4,Agriculture,Queensland
1985,17.4,Agriculture,Queensland
1986,17.9,Agriculture,Queensland
1987,17.8,Agriculture,Queensland
1988,18.1,Agriculture,Queensland
1989,16.7,Agriculture,Queensland
1990,16.9,Agriculture,Queensland
1991,17.3,Agriculture,Queensland
1992,18.1,Agriculture,Queensland
1993,18.5,Agriculture,Queensland
1994,19,Agriculture,Queensland
1995,19.3,Agriculture,Queensland
1996,19.9,Agriculture,Queensland
1997,20.6,Agriculture,Queensland
1998,21.5,Agriculture,Queensland
1999,22.8,Agriculture,Queensland
2000,15.4,Agriculture,Queensland
2001,15.8,Agriculture,Queensland
2002,19.1,Agriculture,Queensland
2003,19.3,Agriculture,Queensland
2004,20.9,Agriculture,Queensland
2005,22.1,Agriculture,Queensland
2006,22.2,Agriculture,Queensland
2007,22.2,Agriculture,Queensland
2008,22.5,Agriculture,Queensland
2009,22.6,Agriculture,Queensland
2010,22.9,Agriculture,Queensland
2011,23.3,Agriculture,Queensland
2012,24.8,Agriculture,Queensland
2013,25,Agriculture,Queensland
2014,25.2,Agriculture,Queensland
2015,28.3,Agriculture,Queensland
1973,4.8,Agriculture,Western Australia
1974,4.6,Agriculture,Western Australia
1975,4.8,Agriculture,Western Australia
1976,4.9,Agriculture,Western Australia
1977,5.8,Agriculture,Western Australia
1978,5.9,Agriculture,Western Australia
1979,6.5,Agriculture,Western Australia
1980,7.3,Agriculture,Western Australia
1981,7.4,Agriculture,Western Australia
1982,7.9,Agriculture,Western Australia
1983,8.8,Agriculture,Western Australia
1984,8.7,Agriculture,Western Australia
1985,8,Agriculture,Western Australia
1986,9.4,Agriculture,Western Australia
1987,9.6,Agriculture,Western Australia
1988,10.1,Agriculture,Western Australia
1989,9.4,Agriculture,Western Australia
1990,8.8,Agriculture,Western Australia
1991,9.3,Agriculture,Western Australia
1992,9.9,Agriculture,Western Australia
1993,10.5,Agriculture,Western Australia
1994,11.2,Agriculture,Western Australia
1995,11.5,Agriculture,Western Australia
1996,11.7,Agriculture,Western Australia
1997,11.2,Agriculture,Western Australia
1998,11.1,Agriculture,Western Australia
1999,11.3,Agriculture,Western Australia
2000,12.9,Agriculture,Western Australia
2001,13.2,Agriculture,Western Australia
2002,15.2,Agriculture,Western Australia
2003,16,Agriculture,Western Australia
2004,17.2,Agriculture,Western Australia
2005,13.7,Agriculture,Western Australia
2006,13.4,Agriculture,Western Australia
2007,13.8,Agriculture,Western Australia
2008,15.6,Agriculture,Western Australia
2009,16.8,Agriculture,Western Australia
2010,17.6,Agriculture,Western Australia
2011,18.4,Agriculture,Western Australia
2012,18.1,Agriculture,Western Australia
2013,17.9,Agriculture,Western Australia
2014,19.7,Agriculture,Western Australia
2015,20.7,Agriculture,Western Australia
1973,4.3,Agriculture,South Australia
1974,4.1,Agriculture,South Australia
1975,4.2,Agriculture,South Australia
1976,4.4,Agriculture,South Australia
1977,4.4,Agriculture,South Australia
1978,4.7,Agriculture,South Australia
1979,5,Agriculture,South Australia
1980,5,Agriculture,South Australia
1981,5.4,Agriculture,South Australia
1982,5.1,Agriculture,South Australia
1983,5.4,Agriculture,South Australia
1984,5.3,Agriculture,South Australia
1985,5.4,Agriculture,South Australia
1986,6.3,Agriculture,South Australia
1987,5.9,Agriculture,South Australia
1988,6.2,Agriculture,South Australia
1989,5.7,Agriculture,South Australia
1990,5.8,Agriculture,South Australia
1991,5.8,Agriculture,South Australia
1992,5.9,Agriculture,South Australia
1993,6,Agriculture,South Australia
1994,5.7,Agriculture,South Australia
1995,5.5,Agriculture,South Australia
1996,6.2,Agriculture,South Australia
1997,6.5,Agriculture,South Australia
1998,6.6,Agriculture,South Australia
1999,6.7,Agriculture,South Australia
2000,7.3,Agriculture,South Australia
2001,6.4,Agriculture,South Australia
2002,9.1,Agriculture,South Australia
2003,8.3,Agriculture,South Australia
2004,8.9,Agriculture,South Australia
2005,9.2,Agriculture,South Australia
2006,9.2,Agriculture,South Australia
2007,9.7,Agriculture,South Australia
2008,8.2,Agriculture,South Australia
2009,7.7,Agriculture,South Australia
2010,7,Agriculture,South Australia
2011,7.2,Agriculture,South Australia
2012,7.1,Agriculture,South Australia
2013,7.1,Agriculture,South Australia
2014,7.2,Agriculture,South Australia
2015,6.9,Agriculture,South Australia
1973,0.7,Agriculture,Tasmania
1974,0.7,Agriculture,Tasmania
1975,1,Agriculture,Tasmania
1976,1.2,Agriculture,Tasmania
1977,1.2,Agriculture,Tasmania
1978,1.2,Agriculture,Tasmania
1979,1.3,Agriculture,Tasmania
1980,1.4,Agriculture,Tasmania
1981,1.4,Agriculture,Tasmania
1982,1.4,Agriculture,Tasmania
1983,1.5,Agriculture,Tasmania
1984,1.5,Agriculture,Tasmania
1985,1.4,Agriculture,Tasmania
1986,1.6,Agriculture,Tasmania
1987,1.9,Agriculture,Tasmania
1988,1.8,Agriculture,Tasmania
1989,1.9,Agriculture,Tasmania
1990,2.1,Agriculture,Tasmania
1991,2,Agriculture,Tasmania
1992,2,Agriculture,Tasmania
1993,2.2,Agriculture,Tasmania
1994,2.4,Agriculture,Tasmania
1995,2.4,Agriculture,Tasmania
1996,2.1,Agriculture,Tasmania
1997,2.3,Agriculture,Tasmania
1998,2.4,Agriculture,Tasmania
1999,2.4,Agriculture,Tasmania
2000,2.6,Agriculture,Tasmania
2001,2.7,Agriculture,Tasmania
2002,3.6,Agriculture,Tasmania
2003,3.6,Agriculture,Tasmania
2004,3.6,Agriculture,Tasmania
2005,3.6,Agriculture,Tasmania
2006,3.6,Agriculture,Tasmania
2007,3.6,Agriculture,Tasmania
2008,3.7,Agriculture,Tasmania
2009,3.7,Agriculture,Tasmania
2010,3,Agriculture,Tasmania
2011,3,Agriculture,Tasmania
2012,3.5,Agriculture,Tasmania
2013,3.8,Agriculture,Tasmania
2014,4.4,Agriculture,Tasmania
2015,4.1,Agriculture,Tasmania
1973,0.4,Agriculture,Northern Territory
1974,0.6,Agriculture,Northern Territory
1975,0.4,Agriculture,Northern Territory
1976,0.4,Agriculture,Northern Territory
1977,0.4,Agriculture,Northern Territory
1978,0.7,Agriculture,Northern Territory
1979,0.7,Agriculture,Northern Territory
1980,0.8,Agriculture,Northern Territory
1981,0.8,Agriculture,Northern Territory
1982,0.8,Agriculture,Northern Territory
1983,0.9,Agriculture,Northern Territory
1984,0.7,Agriculture,Northern Territory
1985,0.7,Agriculture,Northern Territory
1986,0.7,Agriculture,Northern Territory
1987,0.7,Agriculture,Northern Territory
1988,0.9,Agriculture,Northern Territory
1989,1.2,Agriculture,Northern Territory
1990,1,Agriculture,Northern Territory
1991,0.9,Agriculture,Northern Territory
1992,0.9,Agriculture,Northern Territory
1993,0.9,Agriculture,Northern Territory
1994,0.9,Agriculture,Northern Territory
1995,0.9,Agriculture,Northern Territory
1996,1,Agriculture,Northern Territory
1997,1.1,Agriculture,Northern Territory
1998,1.3,Agriculture,Northern Territory
1999,1.4,Agriculture,Northern Territory
2000,1.4,Agriculture,Northern Territory
2001,1.5,Agriculture,Northern Territory
2002,1.3,Agriculture,Northern Territory
2003,1.4,Agriculture,Northern Territory
2004,1.4,Agriculture,Northern Territory
2005,1.1,Agriculture,Northern Territory
2006,1.1,Agriculture,Northern Territory
2007,1.1,Agriculture,Northern Territory
2008,1.3,Agriculture,Northern Territory
2009,1.3,Agriculture,Northern Territory
2010,1.3,Agriculture,Northern Territory
2011,1.3,Agriculture,Northern Territory
2012,1.3,Agriculture,Northern Territory
2013,1.2,Agriculture,Northern Territory
2014,1.2,Agriculture,Northern Territory
2015,1.2,Agriculture,Northern Territory
1973,5.5,Mining,New South Wales
1974,6.2,Mining,New South Wales
1975,6.1,Mining,New South Wales
1976,6.6,Mining,New South Wales
1977,6.6,Mining,New South Wales
1978,6.9,Mining,New South Wales
1979,7.5,Mining,New South Wales
1980,8.1,Mining,New South Wales
1981,8.6,Mining,New South Wales
1982,8.9,Mining,New South Wales
1983,8.5,Mining,New South Wales
1984,8.6,Mining,New South Wales
1985,9.7,Mining,New South Wales
1986,10.3,Mining,New South Wales
1987,9.8,Mining,New South Wales
1988,11.3,Mining,New South Wales
1989,13,Mining,New South Wales
1990,13.1,Mining,New South Wales
1991,13.4,Mining,New South Wales
1992,13.5,Mining,New South Wales
1993,14,Mining,New South Wales
1994,14.4,Mining,New South Wales
1995,15.7,Mining,New South Wales
1996,16.7,Mining,New South Wales
1997,17.9,Mining,New South Wales
1998,18.5,Mining,New South Wales
1999,18.5,Mining,New South Wales
2000,23.3,Mining,New South Wales
2001,24.6,Mining,New South Wales
2002,27.2,Mining,New South Wales
2003,33,Mining,New South Wales
2004,36,Mining,New South Wales
2005,34.8,Mining,New South Wales
2006,35.2,Mining,New South Wales
2007,35.3,Mining,New South Wales
2008,35.5,Mining,New South Wales
2009,41.7,Mining,New South Wales
2010,46.3,Mining,New South Wales
2011,52.8,Mining,New South Wales
2012,58.6,Mining,New South Wales
2013,60.6,Mining,New South Wales
2014,59.5,Mining,New South Wales
2015,62.7,Mining,New South Wales
1973,14.9,Mining,Victoria
1974,19.1,Mining,Victoria
1975,21.2,Mining,Victoria
1976,22.5,Mining,Victoria
1977,21.2,Mining,Victoria
1978,22.2,Mining,Victoria
1979,22.7,Mining,Victoria
1980,20.4,Mining,Victoria
1981,19.9,Mining,Victoria
1982,23.8,Mining,Victoria
1983,27.4,Mining,Victoria
1984,25.1,Mining,Victoria
1985,21.9,Mining,Victoria
1986,22.3,Mining,Victoria
1987,25.4,Mining,Victoria
1988,24.5,Mining,Victoria
1989,25.8,Mining,Victoria
1990,23.8,Mining,Victoria
1991,27.8,Mining,Victoria
1992,26,Mining,Victoria
1993,22.8,Mining,Victoria
1994,24,Mining,Victoria
1995,27.6,Mining,Victoria
1996,28.1,Mining,Victoria
1997,29.5,Mining,Victoria
1998,21.2,Mining,Victoria
1999,26.2,Mining,Victoria
2000,25.8,Mining,Victoria
2001,29.7,Mining,Victoria
2002,20.3,Mining,Victoria
2003,23.3,Mining,Victoria
2004,20.5,Mining,Victoria
2005,22.2,Mining,Victoria
2006,22.6,Mining,Victoria
2007,22.8,Mining,Victoria
2008,28,Mining,Victoria
2009,24.7,Mining,Victoria
2010,25.5,Mining,Victoria
2011,27,Mining,Victoria
2012,27.5,Mining,Victoria
2013,32.5,Mining,Victoria
2014,29.8,Mining,Victoria
2015,30.1,Mining,Victoria
1973,8.9,Mining,Queensland
1974,8.4,Mining,Queensland
1975,8.7,Mining,Queensland
1976,9.4,Mining,Queensland
1977,9.2,Mining,Queensland
1978,9.3,Mining,Queensland
1979,9.3,Mining,Queensland
1980,10.1,Mining,Queensland
1981,10.9,Mining,Queensland
1982,11.4,Mining,Queensland
1983,12,Mining,Queensland
1984,12.9,Mining,Queensland
1985,14.2,Mining,Queensland
1986,15.8,Mining,Queensland
1987,17.5,Mining,Queensland
1988,18.8,Mining,Queensland
1989,19.7,Mining,Queensland
1990,20.7,Mining,Queensland
1991,22.8,Mining,Queensland
1992,25,Mining,Queensland
1993,26.9,Mining,Queensland
1994,28.6,Mining,Queensland
1995,29.9,Mining,Queensland
1996,31.6,Mining,Queensland
1997,35.4,Mining,Queensland
1998,37.9,Mining,Queensland
1999,39.1,Mining,Queensland
2000,51.5,Mining,Queensland
2001,56.7,Mining,Queensland
2002,63.4,Mining,Queensland
2003,66.5,Mining,Queensland
2004,75.9,Mining,Queensland
2005,70.8,Mining,Queensland
2006,70.7,Mining,Queensland
2007,75.6,Mining,Queensland
2008,86.1,Mining,Queensland
2009,87.2,Mining,Queensland
2010,93.7,Mining,Queensland
2011,108.1,Mining,Queensland
2012,120.5,Mining,Queensland
2013,126.3,Mining,Queensland
2014,135.9,Mining,Queensland
2015,199.3,Mining,Queensland
1973,21.5,Mining,Western Australia
1974,21.3,Mining,Western Australia
1975,21.3,Mining,Western Australia
1976,23.5,Mining,Western Australia
1977,23.1,Mining,Western Australia
1978,24.7,Mining,Western Australia
1979,25.8,Mining,Western Australia
1980,16.3,Mining,Western Australia
1981,14.4,Mining,Western Australia
1982,13.4,Mining,Western Australia
1983,13.7,Mining,Western Australia
1984,19.6,Mining,Western Australia
1985,21.1,Mining,Western Australia
1986,24.1,Mining,Western Australia
1987,30.1,Mining,Western Australia
1988,41.4,Mining,Western Australia
1989,66.9,Mining,Western Australia
1990,74.5,Mining,Western Australia
1991,80.6,Mining,Western Australia
1992,93.2,Mining,Western Australia
1993,99.4,Mining,Western Australia
1994,114.2,Mining,Western Australia
1995,131.7,Mining,Western Australia
1996,138.2,Mining,Western Australia
1997,142.4,Mining,Western Australia
1998,145.8,Mining,Western Australia
1999,152.8,Mining,Western Australia
2000,111.8,Mining,Western Australia
2001,117.3,Mining,Western Australia
2002,103.1,Mining,Western Australia
2003,99.9,Mining,Western Australia
2004,114,Mining,Western Australia
2005,129.3,Mining,Western Australia
2006,143,Mining,Western Australia
2007,148,Mining,Western Australia
2008,171.2,Mining,Western Australia
2009,170.2,Mining,Western Australia
2010,189.2,Mining,Western Australia
2011,206.5,Mining,Western Australia
2012,233,Mining,Western Australia
2013,249.5,Mining,Western Australia
2014,239.7,Mining,Western Australia
2015,250.4,Mining,Western Australia
1973,3.7,Mining,South Australia
1974,4.6,Mining,South Australia
1975,5,Mining,South Australia
1976,6.7,Mining,South Australia
1977,7.7,Mining,South Australia
1978,8.3,Mining,South Australia
1979,10.1,Mining,South Australia
1980,10.7,Mining,South Australia
1981,12.3,Mining,South Australia
1982,12.2,Mining,South Australia
1983,16.6,Mining,South Australia
1984,24.8,Mining,South Australia
1985,24.9,Mining,South Australia
1986,26.4,Mining,South Australia
1987,27.7,Mining,South Australia
1988,26.7,Mining,South Australia
1989,27.5,Mining,South Australia
1990,26.3,Mining,South Australia
1991,25.8,Mining,South Australia
1992,25.8,Mining,South Australia
1993,25.4,Mining,South Australia
1994,26,Mining,South Australia
1995,25.6,Mining,South Australia
1996,25.9,Mining,South Australia
1997,28.2,Mining,South Australia
1998,29.5,Mining,South Australia
1999,27.9,Mining,South Australia
2000,32.9,Mining,South Australia
2001,32.5,Mining,South Australia
2002,41,Mining,South Australia
2003,40,Mining,South Australia
2004,35.7,Mining,South Australia
2005,31.9,Mining,South Australia
2006,26.7,Mining,South Australia
2007,25,Mining,South Australia
2008,28.8,Mining,South Australia
2009,27.8,Mining,South Australia
2010,29.8,Mining,South Australia
2011,31.8,Mining,South Australia
2012,33.7,Mining,South Australia
2013,36,Mining,South Australia
2014,34.1,Mining,South Australia
2015,30.3,Mining,South Australia
1973,4.4,Mining,Tasmania
1974,4.4,Mining,Tasmania
1975,4.2,Mining,Tasmania
1976,4.3,Mining,Tasmania
1977,4.5,Mining,Tasmania
1978,4.4,Mining,Tasmania
1979,4.4,Mining,Tasmania
1980,4.4,Mining,Tasmania
1981,4.1,Mining,Tasmania
1982,4.4,Mining,Tasmania
1983,4,Mining,Tasmania
1984,4.2,Mining,Tasmania
1985,4.5,Mining,Tasmania
1986,4.2,Mining,Tasmania
1987,4.3,Mining,Tasmania
1988,4.5,Mining,Tasmania
1989,4.5,Mining,Tasmania
1990,3.5,Mining,Tasmania
1991,3.6,Mining,Tasmania
1992,3.7,Mining,Tasmania
1993,3.8,Mining,Tasmania
1994,3.6,Mining,Tasmania
1995,3.9,Mining,Tasmania
1996,3.7,Mining,Tasmania
1997,4,Mining,Tasmania
1998,4.1,Mining,Tasmania
1999,4.1,Mining,Tasmania
2000,5.7,Mining,Tasmania
2001,4.7,Mining,Tasmania
2002,1.8,Mining,Tasmania
2003,2.3,Mining,Tasmania
2004,2.4,Mining,Tasmania
2005,2.5,Mining,Tasmania
2006,2.7,Mining,Tasmania
2007,3.6,Mining,Tasmania
2008,3.1,Mining,Tasmania
2009,3,Mining,Tasmania
2010,3.2,Mining,Tasmania
2011,3.6,Mining,Tasmania
2012,3.4,Mining,Tasmania
2013,3.3,Mining,Tasmania
2014,2.9,Mining,Tasmania
2015,2.7,Mining,Tasmania
1973,0.4,Mining,Northern Territory
1974,0.9,Mining,Northern Territory
1975,0.8,Mining,Northern Territory
1976,0.7,Mining,Northern Territory
1977,0.7,Mining,Northern Territory
1978,0.7,Mining,Northern Territory
1979,1,Mining,Northern Territory
1980,1.2,Mining,Northern Territory
1981,1,Mining,Northern Territory
1982,1,Mining,Northern Territory
1983,1,Mining,Northern Territory
1984,1.6,Mining,Northern Territory
1985,1.5,Mining,Northern Territory
1986,1.8,Mining,Northern Territory
1987,1.9,Mining,Northern Territory
1988,2.2,Mining,Northern Territory
1989,2.6,Mining,Northern Territory
1990,2.6,Mining,Northern Territory
1991,2.3,Mining,Northern Territory
1992,2.3,Mining,Northern Territory
1993,2.3,Mining,Northern Territory
1994,2.3,Mining,Northern Territory
1995,3.2,Mining,Northern Territory
1996,3.6,Mining,Northern Territory
1997,4.3,Mining,Northern Territory
1998,3.8,Mining,Northern Territory
1999,3.9,Mining,Northern Territory
2000,3,Mining,Northern Territory
2001,3.4,Mining,Northern Territory
2002,1.5,Mining,Northern Territory
2003,3.4,Mining,Northern Territory
2004,5.8,Mining,Northern Territory
2005,16.5,Mining,Northern Territory
2006,26.5,Mining,Northern Territory
2007,24.5,Mining,Northern Territory
2008,25.1,Mining,Northern Territory
2009,24.6,Mining,Northern Territory
2010,20,Mining,Northern Territory
2011,21.7,Mining,Northern Territory
2012,25.9,Mining,Northern Territory
2013,27.2,Mining,Northern Territory
2014,32.3,Mining,Northern Territory
2015,34.5,Mining,Northern Territory
1973,401.2,Manufacturing,New South Wales
1974,403.9,Manufacturing,New South Wales
1975,379.4,Manufacturing,New South Wales
1976,364.8,Manufacturing,New South Wales
1977,365.8,Manufacturing,New South Wales
1978,359.3,Manufacturing,New South Wales
1979,363.2,Manufacturing,New South Wales
1980,351.2,Manufacturing,New South Wales
1981,361.5,Manufacturing,New South Wales
1982,299,Manufacturing,New South Wales
1983,311.2,Manufacturing,New South Wales
1984,324.1,Manufacturing,New South Wales
1985,326.4,Manufacturing,New South Wales
1986,338.1,Manufacturing,New South Wales
1987,324.6,Manufacturing,New South Wales
1988,343.7,Manufacturing,New South Wales
1989,362.5,Manufacturing,New South Wales
1990,361.7,Manufacturing,New South Wales
1991,339.7,Manufacturing,New South Wales
1992,345.2,Manufacturing,New South Wales
1993,356,Manufacturing,New South Wales
1994,361.9,Manufacturing,New South Wales
1995,353.9,Manufacturing,New South Wales
1996,361.9,Manufacturing,New South Wales
1997,357.3,Manufacturing,New South Wales
1998,369.4,Manufacturing,New South Wales
1999,353.9,Manufacturing,New South Wales
2000,345.8,Manufacturing,New South Wales
2001,355.4,Manufacturing,New South Wales
2002,364.1,Manufacturing,New South Wales
2003,380.2,Manufacturing,New South Wales
2004,344.7,Manufacturing,New South Wales
2005,331,Manufacturing,New South Wales
2006,351,Manufacturing,New South Wales
2007,322.5,Manufacturing,New South Wales
2008,306.6,Manufacturing,New South Wales
2009,362.2,Manufacturing,New South Wales
2010,391.5,Manufacturing,New South Wales
2011,350.1,Manufacturing,New South Wales
2012,324,Manufacturing,New South Wales
2013,300.6,Manufacturing,New South Wales
2014,245.7,Manufacturing,New South Wales
2015,249.4,Manufacturing,New South Wales
1973,170.6,Manufacturing,Victoria
1974,167.2,Manufacturing,Victoria
1975,166.1,Manufacturing,Victoria
1976,172.9,Manufacturing,Victoria
1977,182.6,Manufacturing,Victoria
1978,186.3,Manufacturing,Victoria
1979,190.5,Manufacturing,Victoria
1980,193.8,Manufacturing,Victoria
1981,189.6,Manufacturing,Victoria
1982,180.2,Manufacturing,Victoria
1983,185.5,Manufacturing,Victoria
1984,190.1,Manufacturing,Victoria
1985,195.3,Manufacturing,Victoria
1986,202.8,Manufacturing,Victoria
1987,217.8,Manufacturing,Victoria
1988,228.1,Manufacturing,Victoria
1989,226.3,Manufacturing,Victoria
1990,223.9,Manufacturing,Victoria
1991,213.6,Manufacturing,Victoria
1992,221.5,Manufacturing,Victoria
1993,227.2,Manufacturing,Victoria
1994,230.1,Manufacturing,Victoria
1995,228,Manufacturing,Victoria
1996,227.1,Manufacturing,Victoria
1997,238.2,Manufacturing,Victoria
1998,231.6,Manufacturing,Victoria
1999,241.6,Manufacturing,Victoria
2000,223.4,Manufacturing,Victoria
2001,226.1,Manufacturing,Victoria
2002,211.4,Manufacturing,Victoria
2003,211.7,Manufacturing,Victoria
2004,194.3,Manufacturing,Victoria
2005,238.8,Manufacturing,Victoria
2006,248.2,Manufacturing,Victoria
2007,238.9,Manufacturing,Victoria
2008,214.4,Manufacturing,Victoria
2009,222.7,Manufacturing,Victoria
2010,230.1,Manufacturing,Victoria
2011,226,Manufacturing,Victoria
2012,215.1,Manufacturing,Victoria
2013,222,Manufacturing,Victoria
2014,199.7,Manufacturing,Victoria
2015,205.7,Manufacturing,Victoria
1973,147.7,Manufacturing,Queensland
1974,156,Manufacturing,Queensland
1975,165.3,Manufacturing,Queensland
1976,179.5,Manufacturing,Queensland
1977,179.9,Manufacturing,Queensland
1978,171.8,Manufacturing,Queensland
1979,175.6,Manufacturing,Queensland
1980,182.1,Manufacturing,Queensland
1981,186.2,Manufacturing,Queensland
1982,179,Manufacturing,Queensland
1983,185.9,Manufacturing,Queensland
1984,192.9,Manufacturing,Queensland
1985,191,Manufacturing,Queensland
1986,196.8,Manufacturing,Queensland
1987,202.4,Manufacturing,Queensland
1988,213.4,Manufacturing,Queensland
1989,213.6,Manufacturing,Queensland
1990,213.8,Manufacturing,Queensland
1991,206.1,Manufacturing,Queensland
1992,220.6,Manufacturing,Queensland
1993,235.2,Manufacturing,Queensland
1994,245.2,Manufacturing,Queensland
1995,255,Manufacturing,Queensland
1996,265.3,Manufacturing,Queensland
1997,279.4,Manufacturing,Queensland
1998,278.9,Manufacturing,Queensland
1999,283.9,Manufacturing,Queensland
2000,267.7,Manufacturing,Queensland
2001,273,Manufacturing,Queensland
2002,227.6,Manufacturing,Queensland
2003,173.1,Manufacturing,Queensland
2004,257,Manufacturing,Queensland
2005,300.3,Manufacturing,Queensland
2006,258.9,Manufacturing,Queensland
2007,253.1,Manufacturing,Queensland
2008,280.3,Manufacturing,Queensland
2009,303.3,Manufacturing,Queensland
2010,324.7,Manufacturing,Queensland
2011,305.8,Manufacturing,Queensland
2012,333.1,Manufacturing,Queensland
2013,315.8,Manufacturing,Queensland
2014,375.4,Manufacturing,Queensland
2015,318.7,Manufacturing,Queensland
1973,83.6,Manufacturing,Western Australia
1974,86,Manufacturing,Western Australia
1975,99.7,Manufacturing,Western Australia
1976,107,Manufacturing,Western Australia
1977,108.9,Manufacturing,Western Australia
1978,112.1,Manufacturing,Western Australia
1979,105.9,Manufacturing,Western Australia
1980,98.1,Manufacturing,Western Australia
1981,84.6,Manufacturing,Western Australia
1982,83.7,Manufacturing,Western Australia
1983,93,Manufacturing,Western Australia
1984,108.3,Manufacturing,Western Australia
1985,106.4,Manufacturing,Western Australia
1986,108.5,Manufacturing,Western Australia
1987,116.5,Manufacturing,Western Australia
1988,126.5,Manufacturing,Western Australia
1989,135.4,Manufacturing,Western Australia
1990,141.1,Manufacturing,Western Australia
1991,138.9,Manufacturing,Western Australia
1992,146.2,Manufacturing,Western Australia
1993,154.5,Manufacturing,Western Australia
1994,157.8,Manufacturing,Western Australia
1995,160,Manufacturing,Western Australia
1996,161.4,Manufacturing,Western Australia
1997,163.3,Manufacturing,Western Australia
1998,173.3,Manufacturing,Western Australia
1999,176.6,Manufacturing,Western Australia
2000,225.4,Manufacturing,Western Australia
2001,225.7,Manufacturing,Western Australia
2002,235.6,Manufacturing,Western Australia
2003,234.6,Manufacturing,Western Australia
2004,231.8,Manufacturing,Western Australia
2005,223.1,Manufacturing,Western Australia
2006,256.7,Manufacturing,Western Australia
2007,243.7,Manufacturing,Western Australia
2008,243.5,Manufacturing,Western Australia
2009,244.5,Manufacturing,Western Australia
2010,253.3,Manufacturing,Western Australia
2011,256,Manufacturing,Western Australia
2012,263.3,Manufacturing,Western Australia
2013,235.3,Manufacturing,Western Australia
2014,203.6,Manufacturing,Western Australia
2015,232,Manufacturing,Western Australia
1973,70.3,Manufacturing,South Australia
1974,70.7,Manufacturing,South Australia
1975,72.4,Manufacturing,South Australia
1976,71.4,Manufacturing,South Australia
1977,67,Manufacturing,South Australia
